name,address,virtual_file,lines,suspect_count,suspect_types,complexity_score
entry,0060239a,src,74,16,badspacebase|pointer_cast|register_param|stack_ref,254
cockpit_ckptutil.c_putPixel_FUN_004345c0,004345c0,cockpit/ckptutil.c,21,0,,21
cockpit_ckptutil.c_copyScreenRegion_FUN_00432d90,00432d90,cockpit/ckptutil.c,31,3,pointer_cast,66
cockpit_ckptutil.c_optimizedMemcpy_FUN_00431528,00431528,cockpit/ckptutil.c,88,10,pointer_cast,193
cockpit_ckptutil.c_drawLineAAWithBlending_FUN_004339c0,004339c0,cockpit/ckptutil.c,100,0,,100
cockpit_ckptutil.c_blitSimpleSprite_FUN_00432540,00432540,cockpit/ckptutil.c,52,14,unaffected_reg|pointer_cast,202
cockpit_ckptutil.c_rotateBitmap_FUN_00434870,00434870,cockpit/ckptutil.c,98,30,stack_param|unaffected_reg|badspacebase|pointer_cast|register_param|stack_ref,428
cockpit_ckptutil.c_blitFullScreen_FUN_00432b30,00432b30,cockpit/ckptutil.c,6,0,,6
cockpit_ckptutil.c_blitHorizontallyClippedSprite_FUN_004328d0,004328d0,cockpit/ckptutil.c,44,18,stack_param|unaffected_reg|pointer_cast,239
cockpit_ckptutil.c_blitSolidSprite_FUN_00432af0,00432af0,cockpit/ckptutil.c,9,0,,9
cockpit_ckptutil.c_loadEdgeListFile_FUN_004331f0,004331f0,cockpit/ckptutil.c,77,20,stack_param|unaffected_reg|badspacebase|register_param|stack_ref,302
cockpit_ckptutil.c_mmxOptimizedMemcpy_FUN_00431622,00431622,cockpit/ckptutil.c,88,10,pointer_cast,193
cockpit_ckptutil.c_readBitmapFile_FUN_00431870,00431870,cockpit/ckptutil.c,33,8,badspacebase|register_param|stack_ref,128
cockpit_ckptutil.c_applyColorPalette_FUN_004319b0,00431830,cockpit/ckptutil.c,13,2,stack_param,38
cockpit_ckptutil.c_blendPixelWithHardwarePalette_FUN_00433f50,00433f50,cockpit/ckptutil.c,89,11,extra_output|pointer_cast,209
cockpit_ckptutil.c_loadBitmapWithPalette_FUN_004317b0,004317b0,cockpit/ckptutil.c,27,7,stack_param,102
cockpit_ckptutil.c_applyActPalette_FUN_004319b0,004319b0,cockpit/ckptutil.c,25,2,badspacebase|register_param,55
cockpit_ckptutil.c_blitUnifiedSprite_FUN_00432300,00432300,cockpit/ckptutil.c,91,16,stack_param|pointer_cast,261
cockpit_ckptutil.c_blitSpanBasedSpriteClipped_FUN_00431f40,00431f40,cockpit/ckptutil.c,82,14,stack_param|pointer_cast,232
cockpit_ckptutil.c_setLineClippingDisabled_FUN_00434680,00434680,cockpit/ckptutil.c,5,0,,5
cockpit_ckptutil.c_blitWithTransparencyFallback_FUN_00432d00,00432d00,cockpit/ckptutil.c,29,1,pointer_cast,44
cockpit_ckptutil.c_loadRotatedBitmapFile_FUN_00434690,00434690,cockpit/ckptutil.c,69,21,stack_param|badspacebase|register_param|stack_ref,299
cockpit_ckptutil.c_loadACTPaletteFile_FUN_00431ac0,00431ac0,cockpit/ckptutil.c,86,7,badspacebase|register_param|stack_ref,171
cockpit_ckptutil.c_isLineBlendingDisabled_FUN_00434650,00434650,cockpit/ckptutil.c,4,0,,4
cockpit_ckptutil.c_blendPixelWithSourcePalette_FUN_004342f0,004342f0,cockpit/ckptutil.c,64,9,extra_output|pointer_cast,164
cockpit_ckptutil.c_expandIndexedToRGB_FUN_004314fa,004314fa,cockpit/ckptutil.c,19,2,pointer_cast,44
