# Function compilation error categories
# Generated from: compilation_by_function.txt
# Total: 331 failing | FIXABLE: 151 | HARD: 132 | JUNK: 48
#
# Format: CATEGORY | error_count | function_name | reasons
#
FIXABLE |   1 | core_dskybox.cpp_renderSkyDome_FUN_004901f0 | single type_error
FIXABLE |   1 | core_fire.cpp_CMuzzleFlash_render_FUN_004c1a30 | only 1 stack variable declaration(s) needed
FIXABLE |   1 | core_fire.cpp_CTrail_render_FUN_004c5e90 | only 1 stack variable declaration(s) needed
FIXABLE |   1 | core_frankgen.cpp_CFrankenstienMachine_renderOpaque_FUN_004d1f70 | only 1 stack variable declaration(s) needed
FIXABLE |   1 | core_gabriela.cpp_CGabriella_processMotionEvents_FUN_004d4890 | single argument_error
FIXABLE |   1 | core_game.cpp_CGame_displayActStats_FUN_004e3800 | only format string errors
FIXABLE |   2 | core_game.cpp_CGame_loadGame_FUN_004e12b0 | only format string errors
FIXABLE |   1 | core_game.cpp_CGame_processCheatCodes_FUN_004ddaf0 | only format string errors
FIXABLE |  14 | core_game.cpp_CGame_processFrame_FUN_004da100 | only format string errors
FIXABLE |   2 | core_game.cpp_CGame_processHotkeys_FUN_004dcee0 | only 2 stack variable declaration(s) needed
FIXABLE |   1 | core_game.cpp_CGame_renderOverlay_FUN_004d8040 | only format string errors
FIXABLE |   1 | core_game.cpp_CGame_runGameSession_FUN_004daf80 | only format string errors
FIXABLE |   1 | core_game.cpp_CGame_showFullscreenBitmap_FUN_004e2910 | only format string errors
FIXABLE |   3 | core_gore.cpp_CBloodPool_load_FUN_004ed160 | only format string errors
FIXABLE |   5 | core_gore.cpp_CBloodSplat_load_FUN_004ecb00 | only format string errors
FIXABLE |   1 | core_gore.cpp_CBloodSplat_save_FUN_004ecb90 | only format string errors
FIXABLE |   1 | core_inv.cpp_CInventory_load_FUN_004ff400 | only format string errors
FIXABLE |   7 | core_inv.cpp_CInventory_renderAllItems_FUN_00500690 | only format string errors
FIXABLE |  11 | core_inv.cpp_CInventory_save_FUN_004ff210 | only format string errors
FIXABLE |   1 | core_main.c_displayErrorAndQuit_FUN_00506f10 | single pointer_type
FIXABLE |   1 | core_manpuz.cpp_CMansionPuzzleCircle_renderEmitter_FUN_00509c60 | only 1 stack variable declaration(s) needed
FIXABLE |   6 | core_menu.cpp_calibrateGamepad_FUN_005104d0 | only format string errors
FIXABLE |   6 | core_menu.cpp_checkAndCalibrateGamepad_FUN_00511840 | only format string errors
FIXABLE |   3 | core_menu.cpp_showJoystickCalibrationScreen_FUN_00510410 | only format string errors
FIXABLE |   1 | core_mimic.cpp_CMimic_beginMorph_FUN_00520a80 | only format string errors
FIXABLE |   1 | core_mimic.cpp_CMimic_renderMirrored_FUN_005205f0 | only 1 stack variable declaration(s) needed
FIXABLE |   3 | core_mission.cpp_CDemonMission_loadActor_FUN_00523990 | only format string errors
FIXABLE |   5 | core_motion.cpp_CMotionList_load_FUN_0052cd70 | only format string errors
FIXABLE |   6 | core_motion.cpp_CMotionList_save_FUN_0052d170 | only format string errors
FIXABLE |   1 | core_msnedit.cpp_CDemonMission_changeActorType_FUN_0053d8b0 | only format string errors
FIXABLE |   2 | core_msnedit.cpp_CDemonMission_editActorPropertiesDialog_FUN_0053c730 | only format string errors
FIXABLE |   2 | core_msnedit.cpp_drawMotionBar_FUN_00536e20 | only format string errors
FIXABLE |   2 | core_script.cpp_CScript_executeContextAction_FUN_00565d00 | only format string errors
FIXABLE |   2 | core_script.cpp_CScript_loadScript_FUN_00559f80 | only format string errors
FIXABLE |  10 | core_script.cpp_CScript_saveState_FUN_00560b50 | only format string errors
FIXABLE |  10 | core_script.cpp_editParameterValue_FUN_00562920 | only format string errors
FIXABLE |  13 | core_set.cpp_CDemonSet_load_FUN_00569410 | only format string errors
FIXABLE |   2 | core_set.cpp_CDemonSet_precomputeLightVisibility_FUN_0056a470 | only format string errors
FIXABLE |   2 | core_set.cpp_CDemonSet_renderFlashlightShadow_FUN_0056c990 | only 2 stack variable declaration(s) needed
FIXABLE |   1 | core_setdir.cpp_CDemonSet_evaluateVirtualDirector_FUN_005751d0 | only 1 stack variable declaration(s) needed
FIXABLE |   1 | core_setedit.cpp_CDemonSet_buildCameraCoverageMap_FUN_0057fd00 | only 1 stack variable declaration(s) needed
FIXABLE |  11 | core_setedit.cpp_CDemonSet_importS3D_FUN_00578d80 | only format string errors
FIXABLE |  16 | core_setedit.cpp_CDemonSet_save_FUN_0057a2a0 | only format string errors
FIXABLE |   8 | core_setedit.cpp_CDemonSet_showFogEditor_FUN_00580730 | only format string errors
FIXABLE |   1 | core_setedit.cpp_CDemonSet_showLightEditor_FUN_0057c5d0 | only format string errors
FIXABLE |   3 | core_setedit.cpp_CDemonSet_showLightFilterEditor_FUN_0057bbe0 | only format string errors
FIXABLE |   1 | core_setedit.cpp_CDemonSet_showRoomEditor_FUN_00581aa0 | only 1 stack variable declaration(s) needed
FIXABLE |   2 | core_setedit.cpp_editGroundTypes_FUN_00578630 | only format string errors
FIXABLE |   7 | core_setutil.cpp_C3DSCamera_import3DS_FUN_00585c90 | only format string errors
FIXABLE |   9 | core_setutil.cpp_C3DSCamera_importS3D_FUN_00585ff0 | only format string errors
FIXABLE |   1 | core_setutil.cpp_C3DSCamera_loadPVS_FUN_005857b0 | only format string errors
FIXABLE |   8 | core_setutil.cpp_C3DSCamera_load_FUN_00585420 | only format string errors
FIXABLE |   3 | core_setutil.cpp_C3DSCamera_save_FUN_00585a40 | only format string errors
FIXABLE |   8 | core_setutil.cpp_C3DSLight_import3DS_FUN_005874d0 | only format string errors
FIXABLE |   4 | core_setutil.cpp_C3DSLight_importS3D_FUN_00587710 | only format string errors
FIXABLE |  15 | core_setutil.cpp_C3DSLight_load_FUN_00586310 | only format string errors
FIXABLE |  10 | core_setutil.cpp_C3DSLight_save_FUN_00587090 | only format string errors
FIXABLE |   1 | core_skeledit.cpp_CBoneStructure_importBON_FUN_0058a3d0 | only format string errors
FIXABLE |   3 | core_skeledit.cpp_CBoneStructure_readBONframe_FUN_0058aa10 | only format string errors
