name,address,virtual_file,lines,suspect_count,suspect_types,complexity_score
cockpit_pkbmpset.cpp_CPackedBitmapSet_init_FUN_0054bd00,0054bd00,cockpit/pkbmpset.cpp,22,0,,22
cockpit_pkbmpset.cpp_CPackedBitmapSet_reloadStoredPBGFile_FUN_0054c4d0,0054c4d0,cockpit/pkbmpset.cpp,8,2,unaffected_reg,33
cockpit_pkbmpset.cpp_CPackedBitmapSet_applyPaletteOrReload_FUN_0054c660,0054c660,cockpit/pkbmpset.cpp,20,0,,20
cockpit_pkbmpset.cpp_CPackedBitmapSet_ctor_FUN_0054bcd0,0054bcd0,cockpit/pkbmpset.cpp,10,0,,10
cockpit_pkbmpset.cpp_CPackedBitmapSet_loadPBMFileRange_FUN_0054c3d0,0054c3d0,cockpit/pkbmpset.cpp,21,0,,21
cockpit_pkbmpset.cpp_alignTo4ByteBoundary_FUN_0054bcc0,0054bcc0,cockpit/pkbmpset.cpp,4,0,,4
cockpit_pkbmpset.cpp_CPackedBitmapSet_doNothing_FUN_0054c7c0,0054c7c0,cockpit/pkbmpset.cpp,4,0,,4
cockpit_pkbmpset.cpp_CPackedBitmapSet_loadByFilenameAndIndex_FUN_0054c500,0054c500,cockpit/pkbmpset.cpp,50,0,,50
cockpit_pkbmpset.cpp_CPackedBitmapSet_getTotalMemoryUsage_FUN_0054c6a0,0054c6a0,cockpit/pkbmpset.cpp,20,0,,20
cockpit_pkbmpset.cpp_CPackedBitmapSet_loadJoinedRAW_FUN_0054bf40,0054bf40,cockpit/pkbmpset.cpp,70,0,,70
cockpit_pkbmpset.cpp_CPackedBitmapSet_applyPaletteToAllBitmaps_FUN_0054c620,0054c620,cockpit/pkbmpset.cpp,16,0,,16
cockpit_pkbmpset.cpp_CPackedBitmapSet_ensureBitmapLoaded_FUN_0054c72e,0054c72e,cockpit/pkbmpset.cpp,20,0,,20
cockpit_pkbmpset.cpp_CPackedBitmapSet_setFilename_FUN_0054c6f0,0054c6f0,cockpit/pkbmpset.cpp,6,0,,6
cockpit_pkbmpset.cpp_CPackedBitmapSet_alloc_FUN_0054bdb0,0054bdb0,cockpit/pkbmpset.cpp,27,0,,27
cockpit_pkbmpset.cpp_CPackedBitmapSet_loadBitmapSetFromRange_FUN_0054be70,0054be70,cockpit/pkbmpset.cpp,24,1,unknown_field,39
cockpit_pkbmpset.cpp_CPackedBitmapSet_reset_FUN_0054bd60,0054bd60,cockpit/pkbmpset.cpp,11,1,param_count_too_few,26
cockpit_pkbmpset.cpp_CPackedBitmapSet_loadStoredACTFile_FUN_0054c710,0054c710,cockpit/pkbmpset.cpp,6,0,,6
cockpit_pkbmpset.cpp_CPackedBitmapSet_reload_FUN_0054c1e0,0054c1e0,cockpit/pkbmpset.cpp,62,6,param_count_too_few|stack_param,132
cockpit_pkbmpset.cpp_CPackedBitmapSet_loadPBGFileComplete_FUN_0054c480,0054c480,cockpit/pkbmpset.cpp,13,6,param_count_too_many|unnamed_param,83
cockpit_pkbmpset.cpp_CPackedBitmapSet_loadACTAndApplyToBitmapSet_FUN_0054c5d0,0054c5d0,cockpit/pkbmpset.cpp,7,0,,7
cockpit_pkbmpset.cpp_CPackedBitmapSet_doNothing_FUN_0054c7d0,0054c7d0,cockpit/pkbmpset.cpp,4,0,,4
cockpit_drawsurf.cpp_CDrawSurface_drawTextCenteredWrapper_FUN_004895c0,004895c0,cockpit/drawsurf.cpp,5,0,,5
cockpit_drawsurf.cpp_getFontMaxWidth_FUN_0048a6a0,0048a6a0,cockpit/drawsurf.cpp,4,0,,4
cockpit_drawsurf.cpp_CDrawSurface_drawTextCenteredInBoundsWrapper_FUN_00489830,00489830,cockpit/drawsurf.cpp,5,0,,5
cockpit_drawsurf.cpp_CDrawSurface_drawAnimatedCenteredRectangle_FUN_004889b0,004889b0,cockpit/drawsurf.cpp,16,0,,16
cockpit_drawsurf.cpp_CDrawSurface_setColor_FUN_00487010,00487010,cockpit/drawsurf.cpp,53,1,warning_unreachable,68
cockpit_drawsurf.cpp_CDrawSurface_setColorGreen_FUN_004873d0,004873d0,cockpit/drawsurf.cpp,5,0,,5
cockpit_drawsurf.cpp_setDashAnimationThreshold_FUN_00488ac0,00488ac0,cockpit/drawsurf.cpp,5,0,,5
cockpit_drawsurf.cpp_CDrawSurface_drawTextRightAlignedVCenteredWrapper_FUN_00489690,00489690,cockpit/drawsurf.cpp,5,0,,5
cockpit_drawsurf.cpp_CDrawSurface_drawSolidRectangle_FUN_00488630,00488630,cockpit/drawsurf.cpp,14,2,decompiler_intrinsic,39
cockpit_drawsurf.cpp_CDrawSurface_drawInsetRectangle_FUN_00488740,00488740,cockpit/drawsurf.cpp,10,0,,10
cockpit_drawsurf.cpp_CDrawSurface_fillFullSurface_FUN_00488c70,00488c70,cockpit/drawsurf.cpp,6,0,,6
cockpit_drawsurf.cpp_CDrawSurface_drawClosedPolyline_FUN_00489090,00489090,cockpit/drawsurf.cpp,21,0,,21
cockpit_drawsurf.cpp_CDrawSurface_drawTextCentered_FUN_00489590,00489590,cockpit/drawsurf.cpp,6,1,param_count_too_few,21
cockpit_drawsurf.cpp_CDrawSurface_drawRectangleOutline_FUN_004884d0,004884d0,cockpit/drawsurf.cpp,8,0,,8
cockpit_drawsurf.cpp_CDrawSurface_drawTextRightAlignedVariantPrintf_FUN_00489520,00489520,cockpit/drawsurf.cpp,12,3,param_count_too_few|stack_param,52
cockpit_drawsurf.cpp_computeCohenSutherlandOutcode_FUN_00487de0,00487de0,cockpit/drawsurf.cpp,15,0,,15
cockpit_drawsurf.cpp_CDrawSurface_setColorRGB_FUN_00487220,00487220,cockpit/drawsurf.cpp,40,1,warning_unreachable,55
cockpit_drawsurf.cpp_CDrawSurface_drawRectangleOutline_FUN_004878e0,004878e0,cockpit/drawsurf.cpp,12,0,,12
cockpit_drawsurf.cpp_getDashAnimationThreshold_FUN_00488aa0,00488aa0,cockpit/drawsurf.cpp,4,0,,4
cockpit_drawsurf.cpp_CDrawSurface_drawTextCenteredFullHeight_FUN_00489b60,00489b60,cockpit/drawsurf.cpp,6,1,param_count_too_few,21
cockpit_drawsurf.cpp_CDrawSurface_drawVerticalLine_FUN_00488230,00488230,cockpit/drawsurf.cpp,86,5,pointer_cast,141
cockpit_drawsurf.cpp_CDrawSurface_drawTextCenteredFullSurfacePrintf_FUN_00489c40,00489c40,cockpit/drawsurf.cpp,10,2,param_count_too_few|stack_ref,40
cockpit_drawsurf.cpp_CDrawSurface_drawTextCenteredInAreaWithWidthPrintf_FUN_00489a30,00489a30,cockpit/drawsurf.cpp,11,2,param_count_too_few|stack_ref,41
cockpit_drawsurf.cpp_CDrawSurface_drawTextRightAlignedVCentered_FUN_00489660,00489660,cockpit/drawsurf.cpp,6,1,param_count_too_few,21
cockpit_drawsurf.cpp_CDrawSurface_plotPixel_FUN_004874d0,004874d0,cockpit/drawsurf.cpp,60,2,pointer_cast,85
cockpit_drawsurf.cpp_CDrawSurface_drawTextCenteredFullHeightWrapper_FUN_00489b90,00489b90,cockpit/drawsurf.cpp,5,0,,5
cockpit_drawsurf.cpp_CDrawSurface_drawCircleFromTopLeft_FUN_00487820,00487820,cockpit/drawsurf.cpp,5,0,,5
cockpit_drawsurf.cpp_CDrawSurface_clipLine_FUN_00487e20,00487e20,cockpit/drawsurf.cpp,121,18,register_param,306
cockpit_drawsurf.cpp_CDrawSurface_setColorLightGray_FUN_004874a0,004874a0,cockpit/drawsurf.cpp,5,0,,5
cockpit_drawsurf.cpp_CDrawSurface_drawFullSurface_FUN_004886a0,004886a0,cockpit/drawsurf.cpp,6,0,,6
cockpit_drawsurf.cpp_CDrawSurface_drawTextCenteredFullHeightPrintf_FUN_00489bb0,00489bb0,cockpit/drawsurf.cpp,10,1,stack_ref,25
cockpit_drawsurf.cpp_CDrawSurface_drawTextRightAlignedVariant_FUN_004894c0,004894c0,cockpit/drawsurf.cpp,6,1,param_count_too_few,21
