virtual_file,total_functions,clean_functions,remaining,clean_percent,total_lines,total_suspects
.,1,0,1,0.0,74,16
cockpit/ckptutil.c,55,15,40,27.3,2802,413
cockpit/drawsurf.cpp,92,53,39,57.6,2109,303
cockpit/pkbitmap.cpp,31,12,19,38.7,1012,129
cockpit/pkbmpset.cpp,23,13,10,56.5,488,64
core/actor.cpp,184,95,89,51.6,5447,981
core/ammo.cpp,18,11,7,61.1,382,50
core/ammobox.cpp,18,8,10,44.4,325,54
core/anvil.cpp,13,6,7,46.2,214,32
core/armour.cpp,13,7,6,53.8,213,13
core/backgnd.cpp,20,12,8,60.0,219,35
core/baron.cpp,35,20,15,57.1,940,163
core/barrier.cpp,14,8,6,57.1,235,39
core/bat.cpp,19,6,13,31.6,370,98
core/batcreat.cpp,14,5,9,35.7,794,118
core/batman.cpp,16,5,11,31.2,1061,169
core/battery.cpp,17,6,11,35.3,190,52
core/beast.cpp,14,4,10,28.6,195,51
core/biggs.cpp,14,3,11,21.4,376,66
core/bodypart.cpp,45,17,28,37.8,1759,409
core/boneguy.cpp,28,7,21,25.0,1484,448
core/box.cpp,30,17,13,56.7,2023,138
core/boxactor.cpp,46,6,40,13.0,1264,484
core/bride.cpp,15,2,13,13.3,811,293
core/bugs.cpp,44,8,36,18.2,1904,659
core/camview.cpp,6,6,0,100.0,38,0
core/chain.cpp,21,8,13,38.1,894,361
core/charactr.cpp,109,27,82,24.8,5110,1062
core/cloth.cpp,56,10,46,17.9,3272,970
core/colonel.cpp,18,4,14,22.2,699,239
core/conveyor.cpp,20,10,10,50.0,428,137
core/course.cpp,15,4,11,26.7,1188,278
core/cow.cpp,14,3,11,21.4,548,208
core/crate.cpp,20,5,15,25.0,344,177
core/crossbow.cpp,12,5,7,41.7,355,45
core/curtain.cpp,26,9,17,34.6,1387,553
core/dcamera.cpp,86,31,55,36.0,5240,595
core/dcube.cpp,38,25,13,65.8,2103,153
core/dcube.cpp/CDemonCube,1,0,1,0.0,87,13
core/dest.cpp,13,6,7,46.2,279,90
core/dfilter.cpp,19,14,5,73.7,410,23
core/dfont.cpp,3,3,0,100.0,282,0
core/dglobe.cpp,6,0,6,0.0,254,61
core/dimage.cpp,6,5,1,83.3,137,26
core/dirmat.cpp,7,5,2,71.4,375,33
core/dlight.cpp,37,20,17,54.1,2327,329
core/dmodel.cpp,69,27,42,39.1,4778,598
core/dog.cpp,13,8,5,61.5,479,33
core/door.cpp,28,16,12,57.1,1051,118
core/dpart.cpp,15,7,8,46.7,717,155
core/dracbrid.cpp,26,3,23,11.5,1887,531
core/drip.cpp,17,5,12,29.4,457,188
core/drone.cpp,13,3,10,23.1,520,177
core/dskybox.cpp,4,2,2,50.0,260,52
core/dstrender.cpp,31,5,26,16.1,3187,772
core/dtrace.cpp,51,19,32,37.3,3813,407
core/dtri.cpp,29,22,7,75.9,1519,89
core/dynamite.cpp,12,5,7,41.7,209,42
core/elephant.cpp,10,3,7,30.0,422,95
core/emitter.cpp,20,7,13,35.0,927,349
core/enemy.cpp,20,5,15,25.0,588,96
core/event.cpp,68,20,48,29.4,5547,732
core/fileman.cpp,12,4,8,33.3,625,50
core/filmreel.cpp,28,9,19,32.1,431,132
core/fire.cpp,185,98,87,53.0,6235,1045
core/flame.cpp,16,6,10,37.5,768,254
core/flamecan.cpp,17,4,13,23.5,329,123
core/flamegun.cpp,17,9,8,52.9,269,31
core/flashlit.cpp,2,2,0,100.0,18,0
core/flies.cpp,22,6,16,27.3,691,242
core/frankgen.cpp,24,6,18,25.0,734,230
core/gabriela.cpp,38,4,34,10.5,3028,1068
core/game.cpp,69,23,46,33.3,7455,900
core/gargoyle.cpp,16,3,13,18.8,999,364
core/gasmask.cpp,14,6,8,42.9,165,42
core/ghoul.cpp,18,2,16,11.1,1897,632
core/glass.cpp,24,13,11,54.2,1471,218
core/gore.cpp,54,17,37,31.5,1717,416
core/grave.cpp,17,5,12,29.4,322,128
core/ground.cpp,20,11,9,55.0,943,82
core/gun.cpp,7,5,2,71.4,256,59
core/haystack.cpp,18,4,14,22.2,814,284
core/health.cpp,16,6,10,37.5,192,61
core/hero.cpp,48,12,36,25.0,1298,281
core/hiram.cpp,10,4,6,40.0,174,31
core/hostage.cpp,18,6,12,33.3,1360,517
core/hotdemon.cpp,14,3,11,21.4,662,217
core/hpriest.cpp,9,4,5,44.4,127,17
core/icepick.cpp,23,4,19,17.4,1214,440
core/imp.cpp,17,3,14,17.6,1061,366
core/inivar.cpp,2,0,2,0.0,302,141
core/inv.cpp,43,27,16,62.8,3099,235
core/keyactor.cpp,15,4,11,26.7,202,67
core/ladder.cpp,19,5,14,26.3,457,156
core/larva.cpp,13,3,10,23.1,628,179
core/level.cpp,6,4,2,66.7,283,28
core/lever.cpp,22,4,18,18.2,547,192
core/lightgun.cpp,14,4,10,28.6,613,208
core/litecone.cpp,12,6,6,50.0,197,48
core/main.c,10,2,8,20.0,1296,113
core/manpuz.cpp,63,15,48,23.8,2101,809
core/marquee.cpp,16,5,11,31.2,453,154
core/melee.cpp,17,5,12,29.4,330,102
core/menu.cpp,22,8,14,36.4,3555,354
core/mimic.cpp,24,6,18,25.0,1241,341
core/minecar.cpp,7,5,2,71.4,75,13
core/mirror.cpp,22,11,11,50.0,986,152
core/mission.cpp,41,12,29,29.3,1504,270
core/mmx.c,4,3,1,75.0,106,29
core/mobster.cpp,26,4,22,15.4,1889,687
core/moloch.cpp,15,7,8,46.7,671,79
core/moon.cpp,14,8,6,57.1,325,45
core/morph.cpp,49,13,36,26.5,1487,370
core/motion.cpp,33,15,18,45.5,1124,113
core/msnedit.cpp,63,8,55,12.7,5365,1627
core/netgame.cpp,64,13,51,20.3,3068,554
core/npc.cpp,14,7,7,50.0,347,46
core/particle.cpp,6,5,1,83.3,166,18
core/passngr.cpp,11,4,7,36.4,370,114
core/path.cpp,25,8,17,32.0,1541,277
core/pendulum.cpp,20,5,15,25.0,752,224
core/platfrm.cpp,30,4,26,13.3,1792,700
core/podmain.cpp,4,2,2,50.0,71,17
core/procedur.cpp,4,0,4,0.0,215,51
core/scat.cpp,25,4,21,16.0,1489,510
core/script.cpp,96,9,87,9.4,9984,1631
core/sentinel.cpp,14,3,11,21.4,793,267
core/set.cpp,87,22,65,25.3,5284,911
core/setcolid.cpp,40,24,16,60.0,1758,367
core/setdir.cpp,36,19,17,52.8,1324,179
core/setedit.cpp,58,8,50,13.8,8223,1926
core/setutil.cpp,41,17,24,41.5,1484,214
core/shotgun.cpp,10,3,7,30.0,450,115
