name,address,virtual_file,lines,suspect_count,suspect_types,complexity_score
FUN_00401010,00401010,engine/2d.c,77,19,undefined_data|warning_overlapping_globals,277
FUN_004012a0,004012a0,.,38,13,undefined_data|unresolved_funcptr|warning_overlapping_globals,183
FUN_00401530,00401530,.,17,18,param_count_too_few|undefined_data|unnamed_param|warning_overlapping_globals,217
FUN_004015a0,004015a0,.,57,34,param_count_too_few|unnamed_param,407
FUN_00401850,00401850,.,40,35,param_count_too_few|pointer_cast|pointer_truncation|unaffected_reg|undefined_data|unnamed_param|warning_overlapping_globals,425
FUN_00401990,00401990,.,87,5,param_count_too_few|undefined_data,147
FUN_00401bd0,00401bd0,engine/2d.c,14,7,param_count_too_few|undefined_data|unnamed_param|warning_overlapping_globals,104
FUN_00401c40,00401c40,.,85,35,param_count_too_few|undefined_data|unnamed_param|warning_overlapping_globals,455
FUN_00401e30,00401e30,.,19,16,param_count_too_few|unnamed_param|warning_overlapping_globals,194
FUN_00401ed0,00401ed0,.,35,6,param_count_too_few|undefined_data|unnamed_param|unrolled_strlen,115
FUN_00402040,00402040,.,75,39,param_count_too_few|undefined_data|unnamed_param|warning_overlapping_globals,485
FUN_00402290,00402290,.,41,24,unnamed_param|unrolled_strlen,291
FUN_00402320,00402320,.,34,20,undefined_data|unnamed_param|unrolled_strlen,249
FUN_004024e0,004024e0,.,41,26,unnamed_param|unrolled_strlen,311
FUN_00402570,00402570,.,34,22,undefined_data|unnamed_param|unrolled_strlen,269
FUN_00402600,00402600,.,10,12,param_count_too_few|undefined_data|unnamed_param|warning_overlapping_globals,150
FUN_004026b0,004026b0,.,29,15,param_count_too_few|unnamed_param|unrolled_strlen,194
FUN_00402760,00402760,.,5,7,param_count_too_few|unnamed_param,85
FUN_00402a60,00402a60,.,10,14,param_count_too_few|undefined_data|unnamed_param|warning_overlapping_globals,170
FUN_00402b60,00402b60,.,7,7,unnamed_param,82
FUN_00402c20,00402c20,.,7,7,unnamed_param,82
FUN_00402cf0,00402cf0,.,7,10,param_count_too_few|unnamed_param,117
FUN_00402d30,00402d30,.,5,9,param_count_too_few|unnamed_param,105
FUN_00402e20,00402e20,.,4,1,undefined_data,19
FUN_00402e30,00402e30,.,5,3,undefined_data|unnamed_param,45
FUN_00402e50,00402e50,.,5,0,,5
FUN_00402e60,00402e60,.,4,1,undefined_data,19
FUN_00402e70,00402e70,.,5,4,param_count_too_few|undefined_data|unnamed_param,60
FUN_004031a0,004031a0,.,72,8,param_count_too_few|undefined_data|unnamed_param|warning_overlapping_globals,172
FUN_00403460,00403460,.,28,8,param_count_too_few|undefined_data|unnamed_param,123
FUN_00403500,00403500,engine/2d.c,14,6,param_count_too_few|undefined_data|unnamed_param|warning_overlapping_globals,94
FUN_00403570,00403570,.,50,7,pointer_cast|pointer_truncation|undefined_data|warning_overlapping_globals,140
FUN_00403630,00403630,engine/2d.c,53,16,param_count_too_few|undefined_data|unnamed_param|unrolled_strchr|unrolled_strcpy|warning_overlapping_globals,243
thunk_FUN_00553190,00403760,.,65,22,undefined_data|unresolved_funcptr|warning_overlapping_globals,300
thunk_FUN_005533a0,00403770,.,33,11,undefined_data|unresolved_funcptr|warning_overlapping_globals,158
FUN_00403bd0,00403bd0,engine/2d.c,57,43,param_count_too_few|undefined_data|unnamed_param|warning_overlapping_globals,507
FUN_00403ce0,00403ce0,engine/2d.c,62,51,concat_reconstruction|param_count_too_few|undefined_data|unnamed_param|warning_overlapping_globals,597
FUN_00403e10,00403e10,.,8,17,param_count_too_few|unnamed_param,188
FUN_00403e60,00403e60,.,28,27,param_count_too_few|unnamed_param|warning_overlapping_globals,313
FUN_00403ef0,00403ef0,.,11,18,param_count_too_few|unnamed_param|warning_overlapping_globals,206
FUN_00403f50,00403f50,.,28,2,undefined_data,53
thunk_FUN_005458a0,00404480,.,12,1,warning_overlapping_globals,27
thunk_FUN_005458d0,00404490,.,15,1,warning_overlapping_globals,30
FUN_004044d0,004044d0,.,11,13,param_count_too_few|undefined_data|unnamed_param|warning_overlapping_globals,161
FUN_00404610,00404610,.,23,17,param_count_too_few|sign_compare_idiom|undefined_data|unnamed_param|warning_overlapping_globals,218
FUN_00404680,00404680,.,16,11,concat_reconstruction|pointer_truncation|undefined_data|unnamed_param,146
FUN_00404710,00404710,.,8,5,unnamed_param|warning_overlapping_globals,68
FUN_00405840,00405840,.,10,5,undefined_data|warning_overlapping_globals,70
FUN_00406c60,00406c60,.,46,15,undefined_data|unnamed_param|warning_overlapping_globals,211
FUN_00406d80,00406d80,.,46,15,undefined_data|unnamed_param|warning_overlapping_globals,211
FUN_00406f30,00406f30,.,26,9,undefined_data|unnamed_param|warning_overlapping_globals,131
FUN_00408370,00408370,.,14,14,param_count_too_few|undefined_data|unnamed_param|warning_overlapping_globals,174
FUN_004083c0,004083c0,.,6,3,unnamed_param|warning_overlapping_globals,46
FUN_00408c10,00408c10,.,43,20,param_count_too_few|undefined_data|unnamed_param|warning_overlapping_globals,263
FUN_00408e80,00408e80,.,13,7,undefined_data|unnamed_param|unresolved_funcptr,98
FUN_00409290,00409290,.,129,107,stack_param|stack_ref|undefined_data|unnamed_param|unrolled_memcpy,1224
FUN_00409860,00409860,.,109,93,param_count_too_few|unnamed_param,1049
FUN_00409cd0,00409cd0,.,8,5,unnamed_param|unresolved_funcptr,68
FUN_00409cf0,00409cf0,.,11,13,param_count_too_few|unnamed_param,151
FUN_00409d30,00409d30,.,66,8,param_count_too_few|undefined_data|unnamed_param|unrolled_strcpy,166
FUN_00409ea0,00409ea0,.,16,13,param_count_too_few|undefined_data|unnamed_param,161
FUN_00409f20,00409f20,.,6,6,param_count_too_few|undefined_data|unnamed_param,81
FUN_00409f60,00409f60,.,5,1,undefined_data,20
FUN_00409fa0,00409fa0,.,5,5,param_count_too_few|unnamed_param|unresolved_funcptr,70
FUN_00409fc0,00409fc0,.,12,8,param_count_too_few|unnamed_param|unresolved_funcptr,107
FUN_0040a000,0040a000,.,12,9,unnamed_param,107
FUN_0040a200,0040a200,.,5,8,param_count_too_few|unnamed_param,95
FUN_0040a220,0040a220,.,5,8,param_count_too_few|unnamed_param,95
FUN_0040a240,0040a240,.,10,13,param_count_too_few|unnamed_param,150
FUN_0040a290,0040a290,.,11,13,param_count_too_few|unnamed_param,151
FUN_0040a390,0040a390,.,17,16,unnamed_param|unresolved_funcptr,187
FUN_0040a420,0040a420,.,35,22,unnamed_param|unresolved_funcptr,265
FUN_0040a540,0040a540,.,65,76,param_count_too_few|unnamed_param|unresolved_funcptr,840
FUN_0040a740,0040a740,core/actor.cpp,126,54,param_count_too_few|raw_address_constant|stack_ref|unnamed_param|unresolved_funcptr|warning_overlapping_globals,696
FUN_0040ab10,0040ab10,.,7,9,concat_reconstruction|unnamed_param,107
FUN_0040b090,0040b090,.,10,7,unnamed_param,85
FUN_0040b0d0,0040b0d0,.,8,10,unnamed_param,113
FUN_0040b150,0040b150,.,14,18,unnamed_param,199
FUN_0040b1a0,0040b1a0,.,4,0,,4
FUN_0040b1b0,0040b1b0,.,12,11,unnamed_param,127
FUN_0040b200,0040b200,.,24,5,unnamed_param|unresolved_funcptr|warning_overlapping_globals,89
FUN_0040bca0,0040bca0,.,12,13,unnamed_param|unresolved_funcptr,152
FUN_0040bce0,0040bce0,.,17,9,unnamed_param|unresolved_funcptr|warning_overlapping_globals,122
FUN_0040bff0,0040bff0,.,32,22,concat_reconstruction|fnstsw_flag_artifact|param_count_too_few|register_param|undefined_data|unnamed_param|unrolled_strlen,287
FUN_0040c040,0040c040,core/actor.cpp,35,27,param_count_too_few|undefined_data|unnamed_param|unresolved_funcptr|warning_overlapping_globals,330
FUN_0040c160,0040c160,core/actor.cpp,60,27,param_count_too_few|undefined_data|unnamed_param|unresolved_funcptr|unrolled_strcpy|warning_overlapping_globals,360
FUN_0040c320,0040c320,core/actor.cpp,26,14,param_count_too_few|undefined_data|unnamed_param|warning_overlapping_globals,186
FUN_0040c3a0,0040c3a0,.,29,17,undefined_data|unnamed_param,209
FUN_0040c450,0040c450,.,16,10,param_count_too_few|undefined_data|unnamed_param,131
FUN_0040c4f0,0040c4f0,.,16,10,param_count_too_few|undefined_data|unnamed_param,131
FUN_0040c590,0040c590,.,16,9,param_count_too_few|undefined_data|unnamed_param,121
FUN_0040c630,0040c630,.,17,16,param_count_too_few|undefined_data|unnamed_param,192
FUN_0040c6d0,0040c6d0,.,34,20,undefined_data|unnamed_param,244
FUN_0040c7f0,0040c7f0,.,52,14,param_count_too_few|pointer_cast|pointer_truncation|undefined_data|unnamed_param|unrolled_strcpy,222
FUN_0040c880,0040c880,.,15,13,param_count_too_few|undefined_data|unnamed_param,160
FUN_0040c900,0040c900,.,15,13,param_count_too_few|undefined_data|unnamed_param,160
FUN_0040c980,0040c980,.,12,14,undefined_data|unnamed_param,162
FUN_0040ca00,0040ca00,.,25,9,param_count_too_few|undefined_data|unnamed_param|unrolled_strcpy,135
FUN_0040ca80,0040ca80,.,25,9,param_count_too_few|undefined_data|unnamed_param|unrolled_strcpy,135
FUN_0040cb00,0040cb00,.,30,19,param_count_too_few|undefined_data|unnamed_param,235
FUN_0040cbf0,0040cbf0,.,77,53,param_count_too_few|undefined_data|unnamed_param,622
FUN_0040ce80,0040ce80,.,30,19,param_count_too_few|undefined_data|unnamed_param,235
FUN_0040cf70,0040cf70,.,55,32,param_count_too_few|undefined_data|unnamed_param,390
FUN_0040d110,0040d110,.,60,34,undefined_data|unnamed_param,410
FUN_0040d2d0,0040d2d0,.,19,8,param_count_too_few|undefined_data|unnamed_param,114
FUN_0040d3f0,0040d3f0,core/actor.cpp,43,32,displaced_global_access|undefined_data|unnamed_param|unrolled_strcpy|warning_overlapping_globals,388
FUN_0040d4d0,0040d4d0,.,26,14,param_count_too_few|pointer_cast|pointer_truncation|undefined_data|unnamed_param,191
FUN_0040d540,0040d540,core/actor.cpp,24,8,param_count_too_few|unnamed_param|unresolved_funcptr|warning_overlapping_globals,124
FUN_0040d600,0040d600,.,46,29,param_count_too_few|pointer_truncation|undefined_data|unnamed_param,356
FUN_0040d720,0040d720,.,53,18,param_count_too_few|undefined_data|unnamed_param,248
FUN_0040d7e0,0040d7e0,.,10,8,param_count_too_few|unnamed_param|unresolved_funcptr,105
FUN_0040d810,0040d810,.,11,8,param_count_too_few|unnamed_param,101
FUN_0040d830,0040d830,.,4,0,,4
FUN_0040d840,0040d840,.,6,3,stack_ref|unnamed_param,46
FUN_0040d860,0040d860,.,10,8,param_count_too_few|unnamed_param|unresolved_funcptr,105
FUN_0040d890,0040d890,.,8,7,param_count_too_few|unnamed_param,88
FUN_0040d8c0,0040d8c0,.,17,5,pointer_cast|pointer_truncation|undefined_data,82
FUN_0040d8f0,0040d8f0,.,17,5,pointer_cast|pointer_truncation|undefined_data,82
FUN_0040dd20,0040dd20,.,5,4,param_count_too_few|undefined_data|unnamed_param,60
FUN_0040dd30,0040dd30,.,5,3,undefined_data,40
FUN_0040dda0,0040dda0,.,15,6,unnamed_param|warning_overlapping_globals,85
FUN_0040de00,0040de00,.,24,12,param_count_too_few|unnamed_param|warning_overlapping_globals,159
FUN_0040dea0,0040dea0,.,15,4,param_count_too_few|unnamed_param|warning_overlapping_globals,70
FUN_0040df00,0040df00,.,19,8,param_count_too_few|unnamed_param|warning_overlapping_globals,114
FUN_0040dfc0,0040dfc0,.,61,29,param_count_too_few|unnamed_param,361
FUN_0040e0a0,0040e0a0,.,10,10,unnamed_param,115
FUN_0040e0e0,0040e0e0,.,5,3,stack_ref|unnamed_param,45
FUN_0040e100,0040e100,.,5,5,param_count_too_few|unnamed_param,65
FUN_0040e120,0040e120,.,15,12,concat_reconstruction|param_count_too_few|register_param|unnamed_param,155
FUN_0040e160,0040e160,.,4,3,param_count_too_few|unnamed_param,44
FUN_0040e180,0040e180,.,10,11,param_count_too_few|unnamed_param,130
FUN_0040e320,0040e320,.,7,5,param_count_too_few|unnamed_param,67
FUN_0040e340,0040e340,.,5,3,unnamed_param,40
FUN_0040e360,0040e360,.,17,11,param_count_too_few|unnamed_param,137
FUN_0040e3c0,0040e3c0,engine/alphabit.cpp,92,48,param_count_too_few|undefined_data|unnamed_param|warning_overlapping_globals,592
FUN_0040e710,0040e710,.,75,51,param_count_too_few|undefined_data|unnamed_param,600
FUN_0040e8c0,0040e8c0,.,38,41,param_count_too_few|undefined_data|unnamed_param,463
FUN_0040e9e0,0040e9e0,.,35,17,param_count_too_few|unnamed_param,215
