Sibling annotation report: nocturne.exe <- nocedit.exe
mapping: /home/aryie/Repositories/NocturneDecomp/research/13-sibling_struct_layout_diff/verified_mapping.json   min-confidence: 0.90   signatures: True
mode: APPLY   NAME_SIG=3186  SIG_ONLY=214  ALREADY=484  SKIP_CONF=694  SKIP_SHAPE=25  SKIP_NAMED=64  SKIP_TU=40

== NAME_SIG (3186) ==
  00401530 <- 00401140  0.99  identical      engine_2d.c_plotPixel_FUN_00401530
  004015a0 <- 004011b0  0.99  identical      engine_2d.c_drawLine_FUN_004015a0
  00401680 <- 00401290  0.99  identical      engine_2d.c_plotPixelWithDepth_FUN_00401680
  00401710 <- 00401320  0.99  identical      engine_2d.c_drawLine3D_FUN_00401710
  00401850 <- 00401460  0.93  similar_size   engine_2d.c_findBestPaletteMatch_FUN_00401850
  00401c40 <- 00401610  0.99  identical      engine_2d.c_drawCharacter_FUN_00401c40
  00401da0 <- 00401770  0.99  identical      engine_2d.c_project3DPointToScreen_FUN_00401da0
  00401df0 <- 004017c0  0.99  identical      engine_2d.c_project3DPointClipped_FUN_00401df0
  00401e30 <- 00401800  0.99  identical      engine_2d.c_setupViewportAndClipping_FUN_00401e30
  00401ed0 <- 004018a0  0.93  similar_size   engine_2d.c_getStringWidth_FUN_00401ed0
  00401f30 <- 00401900  0.99  identical      engine_2d.c_drawCharacterMasked_FUN_00401f30
  00402040 <- 00401a10  0.99  identical      engine_2d.c_drawCharacterMaskedColor_FUN_00402040
  004021a0 <- 00401b70  0.99  identical      engine_2d.c_drawCharacterHighlighted_FUN_004021a0
  00402290 <- 00401c60  0.99  identical      engine_2d.c_drawTextWrapped_FUN_00402290
  00402320 <- 00401cf0  0.99  identical      engine_2d.c_drawTextMultiline_FUN_00402320
  004023b0 <- 00401d80  0.99  identical      engine_2d.c_wrapTextToWidth_FUN_004023b0
  004024e0 <- 00401eb0  0.99  identical      engine_2d.c_drawTextWrappedColor_FUN_004024e0
  00402570 <- 00401f40  0.99  identical      engine_2d.c_drawTextMultilineColor_FUN_00402570
  00402600 <- 00401fd0  0.99  identical      engine_2d.c_drawText_FUN_00402600
  00402660 <- 00402030  0.93  identical      engine_2d.c_drawStringMasked_FUN_00402660
  004026b0 <- 00402080  0.99  identical      engine_2d.c_drawString_FUN_004026b0
  00402a60 <- 00402430  0.99  identical      engine_2d.c_drawTextColor_FUN_00402a60
  00402b60 <- 00402530  0.85  identical      engine_2d.c_drawTextRightAlignedColor_FUN_00402b60
  00402cf0 <- 004026c0  0.85  identical      engine_2d.c_drawTextCenteredColor_FUN_00402cf0
  00402e20 <- 004027f0  0.85  unshaped       engine_2d.c_getTextWrapEnabled_FUN_00402e20
  00402e30 <- 00402800  0.85  identical      engine_2d.c_setTextWrapEnabled_FUN_00402e30
  00402e50 <- 00402820  0.85  identical      engine_2d.c_disableTextWrap_FUN_00402e50
  00402e60 <- 00402830  0.85  unshaped       engine_2d.c_getTextColor_FUN_00402e60
  00402e70 <- 00402840  0.85  identical      engine_2d.c_setTextColor_FUN_00402e70
  00403570 <- 00402870  0.99  identical      engine_2d.c_buildColorLookupTable_FUN_00403570
  00403760 <- 00402a70  0.96  unshaped       engine_2d.c_resetGraphicsSystem_FUN_00403760
  00403770 <- 00402a80  0.96  unshaped       engine_2d.c_reinitializeGraphicsSystem_FUN_00403770
  00403900 <- 00402c10  0.78  identical      engine_2d.c_computeOutcode_FUN_00403900
  00403940 <- 00402c50  0.99  identical      engine_2d.c_clipLineGlobal_FUN_00403940
  00403990 <- 00402ca0  0.93  same_mnemonics engine_2d.c_clipAndDrawLine_FUN_00403990
  00403bd0 <- 00402ee0  0.93  same_mnemonics engine_2d.c_drawHLine_FUN_00403bd0
  00403ce0 <- 00402ff0  0.93  same_mnemonics engine_2d.c_drawVLine_FUN_00403ce0
  00403e10 <- 00403120  0.99  identical      engine_2d.c_drawRect_FUN_00403e10
  00403e60 <- 00403170  0.99  identical      engine_2d.c_fillRectColor_FUN_00403e60
  00403ef0 <- 00403200  0.99  identical      engine_2d.c_fillRectWithBorder_FUN_00403ef0
