virtual_file,total_functions,clean_functions,remaining,clean_percent,total_lines,total_suspects
.,2256,39,2217,1.7,100679,43392
cockpit/ckptutil.c,1,0,1,0.0,35,20
cockpit/drawsurf.cpp,4,0,4,0.0,287,245
core/actor.cpp,6,0,6,0.0,314,162
core/ammobox.cpp,1,0,1,0.0,47,18
core/bodypart.cpp,3,0,3,0.0,130,79
core/boneguy.cpp,1,0,1,0.0,81,23
core/bugs.cpp,1,0,1,0.0,43,17
core/charactr.cpp,9,0,9,0.0,646,278
core/cloth.cpp,8,0,8,0.0,452,150
core/course.cpp,2,0,2,0.0,68,28
core/dcamera.cpp,8,0,8,0.0,1107,291
core/dcube.cpp,4,0,4,0.0,201,137
core/dfilter.cpp,4,0,4,0.0,169,103
core/dfont.cpp,1,0,1,0.0,194,5
core/dlight.cpp,9,0,9,0.0,366,160
core/dmodel.cpp,10,0,10,0.0,597,269
core/door.cpp,3,0,3,0.0,282,133
core/dtrace.cpp,7,0,7,0.0,547,280
core/dtri.cpp,1,0,1,0.0,38,85
core/event.cpp,9,0,9,0.0,3834,932
core/fire.cpp,3,0,3,0.0,176,60
core/frankgen.cpp,3,0,3,0.0,124,34
core/gabriela.cpp,1,0,1,0.0,144,22
core/game.cpp,8,0,8,0.0,770,203
core/ghoul.cpp,1,0,1,0.0,60,17
core/gore.cpp,1,0,1,0.0,36,18
core/ground.cpp,2,0,2,0.0,184,41
core/hero.cpp,3,0,3,0.0,131,29
core/inivar.cpp,1,0,1,0.0,86,7
core/inv.cpp,4,0,4,0.0,265,100
core/main.c,1,0,1,0.0,496,81
core/manpuz.cpp,4,0,4,0.0,162,44
core/menu.cpp,1,0,1,0.0,861,89
core/mimic.cpp,2,0,2,0.0,78,53
core/mirror.cpp,1,0,1,0.0,34,35
core/mission.cpp,12,0,12,0.0,739,275
core/mobster.cpp,1,0,1,0.0,135,59
core/morph.cpp,8,0,8,0.0,522,289
core/motion.cpp,7,0,7,0.0,407,181
core/netgame.cpp,15,0,15,0.0,1579,492
core/path.cpp,5,0,5,0.0,653,188
core/platfrm.cpp,2,0,2,0.0,156,56
core/script.cpp,8,0,8,0.0,3174,603
core/set.cpp,10,0,10,0.0,1705,737
core/setcolid.cpp,6,0,6,0.0,764,240
core/setdir.cpp,1,0,1,0.0,21,10
core/setutil.cpp,7,0,7,0.0,403,248
core/skeleton.cpp,24,0,24,0.0,2053,691
core/sound.cpp,2,0,2,0.0,241,56
core/stranger.cpp,4,0,4,0.0,1289,301
core/svetlana.cpp,1,0,1,0.0,77,16
core/texlist.cpp,1,0,1,0.0,146,37
core/trigger.cpp,1,0,1,0.0,81,30
core/turret.cpp,1,0,1,0.0,47,16
core/vampboss.cpp,1,0,1,0.0,43,8
core/water.cpp,1,0,1,0.0,149,32
core/xform.cpp,1,0,1,0.0,73,55
core/zombie.cpp,1,0,1,0.0,264,78
engine/2d.c,6,0,6,0.0,277,142
engine/alphabit.cpp,1,0,1,0.0,92,48
engine/boss.c,1,0,1,0.0,8,2
engine/clipper.c,1,0,1,0.0,576,233
engine/dosio.c,3,0,3,0.0,84,38
engine/drender.cpp,6,0,6,0.0,400,208
engine/font.cpp,4,0,4,0.0,341,186
engine/ini.cpp,5,0,5,0.0,312,110
engine/keyframe.c,1,0,1,0.0,96,19
engine/matrix.c,5,0,5,0.0,316,65
engine/model.c,3,0,3,0.0,190,39
engine/pcx.c,3,0,3,0.0,268,74
engine/pod.cpp,2,0,2,0.0,244,73
engine/special.c,1,0,1,0.0,309,38
engine/texture.cpp,1,0,1,0.0,206,101
entry,1,0,1,0.0,60,15
shape/edittool.cpp,28,0,28,0.0,1569,676
sound/mp3.cpp,10,0,10,0.0,1937,592
sound/sndmain.cpp,37,0,37,0.0,2517,829
support/codec.cpp,1,0,1,0.0,21,19
support/newmsg.cpp,2,0,2,0.0,155,28
support/trisock.cpp,1,0,1,0.0,19,10
wincore/wddvmem.cpp,8,0,8,0.0,567,157
