name,address,virtual_file,lines,suspect_count,suspect_types,complexity_score
FUN_10001020,10001020,.,33,15,register_param|unnamed_param|unrolled_memset,198
FUN_10001090,10001090,.,103,31,pointer_cast|pointer_truncation|register_param|unnamed_param|unrolled_memcpy|unrolled_strlen,443
FUN_10001180,10001180,.,50,11,register_param|unnamed_param,170
FUN_10001200,10001200,.,87,16,pointer_cast|undefined_data,257
FUN_10001440,10001440,.,7,8,param_count_too_few|unnamed_param,97
FUN_10001470,10001470,.,20,7,param_count_too_few|undefined_data|unnamed_param,105
FUN_100015d0,100015d0,.,17,7,param_count_too_few|undefined_data|unnamed_param,102
FUN_10001900,10001900,.,35,11,stack_ref|unaffected_reg|unnamed_param|unresolved_funcptr|unrolled_memcpy|unrolled_memset,175
APIDLLInformation,100019a0,.,75,22,stack_param|stack_ref|unresolved_register|unrolled_memcpy|unrolled_memset|unrolled_strlen,325
APIDLLinit,10001a80,.,188,69,displaced_global_access|pointer_cast|pointer_truncation|stack_ref|undefined_data|unresolved_funcptr|unrolled_memcpy|unrolled_memset|unrolled_strlen,923
FUN_10001d70,10001d70,.,220,15,param_count_too_few|unnamed_param,380
FUN_10002340,10002340,.,7,5,param_count_too_few|undefined_data|unnamed_param|warning_noreturn,77
FUN_10002370,10002370,.,45,34,undefined_data|unresolved_funcptr,395
APIDLLkill,10002460,.,14,10,undefined_data|unresolved_funcptr,124
APIDLLtoggle,100024b0,.,12,9,undefined_data|unresolved_funcptr,112
APIDLLsetVideoMode,10002500,.,325,127,param_count_too_few|stack_ref|undefined_data|unnamed_param|unresolved_funcptr|unrolled_memcpy|unrolled_memset|unrolled_strlen|warning_noreturn|warning_overlapping_globals,1645
FUN_10002b20,10002b20,.,7,8,param_count_too_few|unnamed_param,97
APIDLLsetVideoMode2,10002bb0,.,9,11,undefined_data|unnamed_param,129
APIDLLrestoreVideoMode,10002be0,.,19,11,undefined_data|unresolved_funcptr,139
FUN_10002c50,10002c50,.,24,9,undefined_data|unrolled_memcpy,124
FUN_10002cb0,10002cb0,.,12,6,param_count_too_few|unnamed_param|unresolved_funcptr,87
APIDLLbeginScene,10002ce0,.,14,5,undefined_data|unresolved_funcptr,74
APIDLLendScene,10002d10,.,13,5,undefined_data|unresolved_funcptr,73
FUN_10002d50,10002d50,.,9,4,undefined_data,54
APIDLLlockFrame,10002d90,.,14,2,undefined_data,39
FUN_10002dc0,10002dc0,.,27,9,undefined_data|warning_overlapping_globals,127
FUN_10002e20,10002e20,.,16,11,param_count_too_few|unnamed_param|unresolved_funcptr|unrolled_memset,146
APIDLLunlockFrame,10002e60,.,14,2,undefined_data,39
