virtual_file,total_functions,clean_functions,remaining,clean_percent,total_lines,total_suspects
crt/ctype.c,7,1,6,14.3,179,36
crt/env.c,10,1,9,10.0,592,97
crt/errno.c,3,2,1,66.7,44,2
crt/fpu.c,12,7,5,58.3,256,26
crt/heap.c,10,1,9,10.0,131,15
crt/io.c,25,0,25,0.0,1088,151
crt/locale.c,33,5,28,15.2,1840,250
crt/math.c,26,14,12,53.8,1160,110
crt/signal.c,6,0,6,0.0,319,45
crt/startup.c,18,5,13,27.8,481,117
crt/stdio.c,41,19,22,46.3,1604,205
crt/stdlib.c,14,8,6,57.1,542,34
crt/string.c,17,3,14,17.6,725,94
crt/system.c,1,0,1,0.0,27,13
crt/thread.c,12,1,11,8.3,176,28
crt/time.c,14,5,9,35.7,981,150
dll/dx7.cpp,76,34,42,44.7,3234,390
