addr	conf	name	ret	conv	params	note
10005430	H	crt_stdio.c__fclose_FUN_10005430	int	__cdecl	FILE* file	FID
10005470	H	crt_stdio.c__fclose_lk_FUN_10005470	int	__cdecl	FILE* file	FID: _flush/_freebuf/_close under lock, ret -1/0
100054d0	H	crt_stdio.c_fprintf_FUN_100054d0	int	__cdecl	FILE* file, const char* format, ...	was FID_conflict _fwprintf; body = lock/_stbuf/_output/_ftbuf = **fprintf** (narrow, not wide)
10005520	H	crt_stdio.c__fsopen_FUN_10005520	FILE*	__cdecl	char* filename, char* mode, int sh_flag	FID
10005560	H	crt_stdio.c_fopen_FUN_10005560	FILE*	__cdecl	const char* filename, const char* mode	was FID_conflict _wfopen; body = _fsopen(name,mode,0x40) = **fopen**
10005580	H	crt_fpu.c__fpmath_FUN_10005580	void	__cdecl	int flag	FID
100055b0	M	crt_fpu.c__install_fp_handlers_FUN_100055b0	void	__cdecl	void	installs 6 __fptrap exception vectors (10016d48..5c)
10005600	H	crt_startup.c__chkstk_FUN_10005600	void __declspec		naked)(void	CMP 0x1000 stack-probe loop (_alloca_probe)
10005630	H	crt_stdio.c__sprintf_FUN_10005630	int	__cdecl	char* dest, char* format	FID
100056a0	H	crt_startup.c___CRTDLL_INIT_FUN_100056a0	BOOL	__cdecl	HINSTANCE hinst_dll, DWORD reason, LPVOID reserved	entry XREF; __cinit/__mtinit/__setargv/GetVersion
100057f0	H	crt_startup.c__DllMainCRTStartup_FUN_100057f0	int	__cdecl	HINSTANCE hinst_dll, DWORD reason, LPVOID reserved	FID: PE entry point
100058c0	H	crt_startup.c__amsg_exit_FUN_100058c0	void	__cdecl	int rterrnum	FID
10005900	H	crt_thread.c__mtinitlocks_FUN_10005900	int	__cdecl	void	FID
10005930	H	crt_thread.c__mtdeletelocks_FUN_10005930	void	__cdecl	void	FID
100059a0	H	crt_thread.c__lock_FUN_100059a0	void	__cdecl	int file	FID
10005a10	H	crt_thread.c__unlock_FUN_10005a10	void	__cdecl	int locknum	LeaveCriticalSection(&_locktable[idx])
10005a30	H	crt_thread.c__lock_file_FUN_10005a30	void	__cdecl	FILE* file	FID
10005a70	H	crt_stdio.c__lock_file2_FUN_10005a70	void	__cdecl	int index, void * stream	idx<20 __lock(idx+0x1c) else EnterCriticalSection
10005aa0	H	crt_thread.c__unlock_file_FUN_10005aa0	void	__cdecl	FILE* file	FID
10005ae0	H	crt_stdio.c__unlock_file2_FUN_10005ae0	void	__cdecl	int index, void * stream	mirror of _lock_file2
10005b30	M	crt_heap.c_free_FUN_10005b30	void	__cdecl	void * block	HeapFree(_crtheap,0,block)
10005b50	H	crt_io.c__close_FUN_10005b50	int	__cdecl	int file_handle	FID
10005bc0	H	crt_io.c__close_lk_FUN_10005bc0	int	__cdecl	int fh	FID
10005c50	H	crt_stdio.c__freebuf_FUN_10005c50	void	__cdecl	FILE* file	FID
10005c90	H	crt_stdio.c_fflush_FUN_10005c90	int	__cdecl	FILE*	null->flushall(0), else lock+_fflush_lk
10005cd0	H	crt_stdio.c__fflush_lk_FUN_10005cd0	int	__cdecl	FILE*	__flush then _commit if _IOCOMMIT
